split,video,qid,type,gold_spans,gold_duration_s,duration_bucket,anchor_t,used_clip_anchor,anchor_in_gold,fwd_peak1_t,fwd_peak1_in_gold,fwd_peak2_t,fwd_peak2_in_gold,fwd_peak3_t,fwd_peak3_in_gold,bwd_peak1_t,bwd_peak1_in_gold,bwd_peak2_t,bwd_peak2_in_gold,bwd_peak3_t,bwd_peak3_in_gold,fwd_scene_t,fwd_scene_in_gold,bwd_scene_t,bwd_scene_in_gold,c3_next_survivor_t,c3_next_survivor_in_gold,c2_random_survivor_mean_in_gold,c2_n_draws,n_forward_peaks,dist_to_next_peak_s,n_survivors,n_peaks_in_video,n_retrieved,c1_fwd_1s_t,c1_fwd_2s_t,c1_fwd_3s_t,c1_fwd_5s_t,c1_fwd_1s_in_gold,c1_fwd_2s_in_gold,c1_fwd_3s_in_gold,c1_fwd_5s_in_gold,c1_bwd_1s_t,c1_bwd_2s_t,c1_bwd_3s_t,c1_bwd_5s_t,c1_bwd_1s_in_gold,c1_bwd_2s_in_gold,c1_bwd_3s_in_gold,c1_bwd_5s_in_gold
val_confirm,9873067604,4,CW,"[[25.3, 31.2]]",5.9,5-10s,13.7221,True,False,14.63963963963964,False,16.057724391057725,False,16.64164164164164,False,12.637637637637638,False,11.80347013680347,False,10.635635635635635,False,15.68234901568235,False,12.762762762762764,False,13.805472138805472,False,0.25,20,27,0.9176,118,42,4,14.7221,15.7221,16.7221,18.7221,False,False,False,False,12.7221,11.7221,10.7221,8.7221,False,False,False,False
val_confirm,7508439506,1,CW,"[[0.0, 2.4]]",2.4,2-5s,5.9393,True,False,6.039366666666667,False,6.439766666666666,False,7.040366666666666,False,5.638966666666667,False,5.038366666666667,False,4.637966666666666,False,6.8735333333333335,False,5.238566666666666,False,6.039366666666667,False,0.0,20,30,0.1001,103,39,4,6.9393,7.9393,8.9393,10.9393,False,False,False,False,4.9393,3.9393,2.9393,0.9393,False,False,False,True
val_confirm,6136926089,8,TN,"[[9.9, 13.0]]",3.1,2-5s,8.7421,True,False,9.042366666666666,False,9.542866666666667,False,9.943266666666666,True,8.541866666666667,False,8.041366666666667,False,7.4074,False,9.042366666666666,False,8.274933333333333,False,9.042366666666666,False,0.1,20,65,0.3003,237,80,4,9.7421,10.7421,11.7421,13.7421,False,True,True,False,7.7421,6.7421,5.7421,3.7421,False,False,False,False
val_confirm,6793786769,5,TC,"[[7.7, 22.0], [28.0, 35.4], [43.0, 48]]",26.7,>=10s,47.5,True,True,47.541666666666664,True,,,,,46.791666666666664,True,46.291666666666664,True,45.041666666666664,True,48.25,False,47.083333333333336,True,47.541666666666664,True,1.0,20,1,0.0417,155,55,4,48.0,48.0,48.0,48.0,True,True,True,True,46.5,45.5,44.5,42.5,True,True,True,False
val_confirm,3562017845,7,CH,"[[7.2, 11.9]]",4.7,2-5s,18.7187,True,False,19.019,False,20.02,False,20.5205,False,18.018,False,17.5175,False,17.017,False,21.421400000000002,False,18.651966666666667,False,18.9189,False,0.0,20,35,0.3003,160,65,4,19.7187,20.7187,21.7187,23.7187,False,False,False,False,17.7187,16.7187,15.7187,13.7187,False,False,False,False
val_confirm,7499763064,5,CW,"[[5.2, 6.1]]",0.9,<2s,2.5442,True,False,3.128125,False,3.6703333333333332,False,4.129125,False,1.9602916666666668,False,1.2929583333333334,False,0.5839166666666666,False,4.170833333333333,False,1.3346666666666667,False,2.7944583333333335,False,0.0,20,28,0.5839,82,32,4,3.5442,4.5442,5.5442,7.5442,False,False,True,False,1.5442,0.5442,0.0,0.0,False,False,False,False
val_confirm,6329077812,7,TP,"[[29.2, 43.8]]",14.6,>=10s,25.659,True,False,25.759066666666666,False,26.6266,False,27.060366666666667,False,25.058366666666668,False,24.057366666666667,False,23.556866666666668,False,26.359666666666666,False,24.9249,False,25.759066666666666,False,0.4,20,54,0.1001,246,93,4,26.659,27.659,28.659,30.659,False,False,False,True,24.659,23.659,22.659,20.659,False,False,False,False
val_confirm,4273039295,4,CW,"[[53.5, 60.9]]",7.4,5-10s,58.56,True,True,58.8,True,59.4,True,60.0,True,57.6,True,57.0,True,56.4,True,58.84,True,57.52,True,58.8,True,0.05,20,37,0.24,296,109,4,59.56,60.56,61.56,63.56,True,True,False,False,57.56,56.56,55.56,53.56,True,True,True,True
val_confirm,3066064005,1,CW,"[[2.2, 11.8]]",9.6,5-10s,22.3223,True,False,23.023,False,23.5235,False,24.024,False,22.022,False,21.021,False,20.4204,False,22.589233333333333,False,21.588233333333335,False,22.9229,False,0.0,20,7,0.7007,110,46,4,23.3223,24.3223,25.3223,27.0,False,False,False,False,21.3223,20.3223,19.3223,17.3223,False,False,False,False
val_confirm,3851961428,11,TN,"[[38.5, 46.5]]",8.0,5-10s,0.2669,True,False,0.3670333333333333,False,1.001,False,1.4681333333333333,False,,,,,,,0.7340666666666666,False,0.0,False,0.3670333333333333,False,0.15,20,122,0.1001,276,122,4,1.2669,2.2669,3.2669,5.2669,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False
val_confirm,4822859674,2,CW,"[[1.3, 7.8]]",6.5,5-10s,14.723,True,False,15.015,False,15.682333333333334,False,16.26625,False,13.76375,False,12.5125,False,11.26125,False,15.056708333333333,False,13.26325,False,14.889875,False,0.0,20,25,0.292,115,44,4,15.723,16.723,17.723,19.723,False,False,False,False,13.723,12.723,11.723,9.723,False,False,False,False
