split,video,qid,type,gold_spans,gold_duration_s,duration_bucket,anchor_t,used_clip_anchor,anchor_in_gold,fwd_peak1_t,fwd_peak1_in_gold,fwd_peak2_t,fwd_peak2_in_gold,fwd_peak3_t,fwd_peak3_in_gold,bwd_peak1_t,bwd_peak1_in_gold,bwd_peak2_t,bwd_peak2_in_gold,bwd_peak3_t,bwd_peak3_in_gold,fwd_scene_t,fwd_scene_in_gold,bwd_scene_t,bwd_scene_in_gold,c3_next_survivor_t,c3_next_survivor_in_gold,c2_random_survivor_mean_in_gold,c2_n_draws,n_forward_peaks,dist_to_next_peak_s,n_survivors,n_peaks_in_video,n_retrieved,c1_fwd_1s_t,c1_fwd_2s_t,c1_fwd_3s_t,c1_fwd_5s_t,c1_fwd_1s_in_gold,c1_fwd_2s_in_gold,c1_fwd_3s_in_gold,c1_fwd_5s_in_gold,c1_bwd_1s_t,c1_bwd_2s_t,c1_bwd_3s_t,c1_bwd_5s_t,c1_bwd_1s_in_gold,c1_bwd_2s_in_gold,c1_bwd_3s_in_gold,c1_bwd_5s_in_gold
val_tune,4882821564,1,CW,"[[13.8, 29.8]]",16.0,>=10s,13.7471,True,False,14.047366666666667,True,14.447766666666666,True,15.048366666666666,True,13.446766666666667,False,13.046366666666666,False,12.045366666666666,False,14.080733333333333,True,12.946266666666666,False,14.047366666666667,True,0.25,20,130,0.3003,360,152,4,14.7471,15.7471,16.7471,18.7471,True,True,True,True,12.7471,11.7471,10.7471,8.7471,False,False,False,False
val_tune,2435100235,7,CH,"[[20.9, 22.7], [23.8, 26.0], [34.4, 35.8], [50.5, 57.5], [58.5, 63.6]]",17.5,>=10s,38.0046,True,False,39.005633333333336,False,39.50613333333333,False,40.00663333333333,False,37.5375,False,37.00363333333333,False,36.603233333333336,False,38.038000000000004,False,37.137100000000004,False,38.20483333333333,False,0.5,20,43,1.001,256,107,4,39.0046,40.0046,41.0046,43.0046,False,False,False,False,37.0046,36.0046,35.0046,33.0046,False,False,True,False
val_tune,2834146886,8,TN,"[[36.9, 44.0]]",7.1,5-10s,41.3747,True,True,42.042,True,43.043,True,43.676966666666665,True,41.041,True,40.4404,True,40.04,True,41.7417,True,37.70433333333333,True,41.875166666666665,True,0.0,20,32,0.6673,251,101,4,42.3747,43.3747,44.3747,46.3747,True,True,False,False,40.3747,39.3747,38.3747,36.3747,True,True,True,False
val_tune,8132842161,2,CW,"[[0.0, 12.1], [14.4, 21.8], [27.4, 29.6], [30.7, 36.9]]",27.9,>=10s,15.5489,True,True,16.049366666666668,True,16.449766666666665,True,17.050366666666665,True,15.048366666666666,True,14.047366666666667,False,13.046366666666666,False,15.849166666666667,True,15.048366666666666,True,16.049366666666668,True,0.7,20,33,0.5005,148,60,4,16.5489,17.5489,18.5489,20.5489,True,True,True,True,14.5489,13.5489,12.5489,10.5489,True,False,False,True
val_tune,4260763967,4,CW,"[[3.4, 6.1], [15.0, 17.5]]",5.2,5-10s,4.9049,True,True,5.005,True,6.006,True,6.4064,False,4.5045,True,4.004,True,3.4034,True,6.5732333333333335,False,3.069733333333333,False,5.005,True,0.2,20,50,0.1001,136,58,4,5.9049,6.9049,7.9049,9.9049,True,False,False,False,3.9049,2.9049,1.9049,0.0,True,False,False,False
val_tune,3462517143,2,CW,"[[0.1, 1.1], [14.2, 18.6]]",5.4,5-10s,17.6176,True,True,18.018,True,19.019,False,20.02,False,17.017,True,16.5165,True,16.016,True,17.784433333333332,True,16.850166666666667,True,17.7177,True,0.0,20,8,0.4004,98,39,4,18.6176,19.6176,20.6176,22.6176,False,False,False,False,16.6176,15.6176,14.6176,12.6176,True,True,True,False
val_tune,3441428429,10,TN,"[[25.1, 31.8], [35.0, 38.8], [50.2, 52.4]]",12.7,>=10s,75.8091,True,False,76.076,False,76.54313333333333,False,77.077,False,75.075,False,74.4744,False,73.74033333333334,False,77.81106666666666,False,72.5725,False,76.076,False,0.0,20,23,0.2669,360,140,4,76.8091,77.8091,78.8091,80.8091,False,False,False,False,74.8091,73.8091,72.8091,70.8091,False,False,False,False
val_tune,6356067859,6,TN,"[[17.8, 21.7]]",3.9,2-5s,2.8362,True,False,3.036366666666667,False,4.037366666666666,False,4.537866666666667,False,2.0353666666666665,False,1.0343666666666667,False,0.23356666666666667,False,3.036366666666667,False,2.0353666666666665,False,2.9362666666666666,False,0.2,20,51,0.2002,143,54,4,3.8362,4.8362,5.8362,7.8362,False,False,False,False,1.8362,0.8362,0.0,0.0,False,False,False,False
val_tune,5735711594,5,TC,"[[0.2, 2.1]]",1.9,<2s,12.7461,True,False,13.046366666666666,False,14.047366666666667,False,14.447766666666666,False,12.645966666666666,False,12.045366666666666,False,11.444766666666666,False,12.879533333333333,False,12.345666666666666,False,13.046366666666666,False,0.0,20,11,0.3003,79,34,4,13.7461,14.7461,15.7461,17.7461,False,False,False,False,11.7461,10.7461,9.7461,7.7461,False,False,False,False
val_tune,9088819598,1,CW,"[[0.4, 8.6]]",8.2,5-10s,1.5015,True,True,2.1688355021688355,True,2.9029029029029028,True,3.5035035035035036,True,0.9009009009009009,True,,,,,2.4357691024357693,True,1.0677344010677345,True,2.1021021021021022,True,0.35,20,26,0.6673,70,28,4,2.5015,3.5015,4.5015,6.5015,True,True,True,True,0.5015,0.0,0.0,0.0,True,False,False,False
val_tune,5296635780,7,TN,"[[8.7, 16.9]]",8.2,5-10s,11.7117,True,True,12.012,True,12.6126,True,13.013,True,11.5115,True,11.011,True,10.5105,True,12.946266666666666,True,9.442766666666667,True,12.012,True,0.35,20,18,0.3003,88,35,4,12.7117,13.7117,14.7117,16.7117,True,True,True,True,10.7117,9.7117,8.7117,6.7117,True,True,True,False
val_tune,2614918961,1,CW,"[[40.6, 43.7]]",3.1,2-5s,35.3353,True,False,35.5355,False,36.036,False,36.5365,False,35.035,False,34.5345,False,34.034,False,36.56986666666667,False,34.968266666666665,False,35.4354,False,0.25,20,15,0.2002,175,76,4,36.3353,37.3353,38.3353,40.3353,False,False,False,False,34.3353,33.3353,32.3353,30.3353,False,False,False,False
val_tune,6201488511,5,CW,"[[30.3, 32.7]]",2.4,2-5s,72.0053,True,False,72.10536666666667,False,73.10636666666667,False,73.60686666666666,False,71.70496666666666,False,71.10436666666666,False,70.70396666666667,False,73.33993333333333,False,71.40466666666667,False,72.10536666666667,False,0.0,20,22,0.1001,345,136,4,73.0053,74.0053,75.0053,77.0053,False,False,False,False,71.0053,70.0053,69.0053,67.0053,False,False,False,False
val_tune,2976913210,6,TC,"[[6.5, 10.5]]",4.0,2-5s,14.014,True,False,15.015,False,16.016,False,16.649966666666668,False,13.6136,False,13.013,False,12.012,False,14.547866666666668,False,13.146466666666667,False,14.2142,False,0.0,20,5,1.001,74,29,4,15.014,16.014,17.014,18.0,False,False,False,False,13.014,12.014,11.014,9.014,False,False,False,True
val_tune,2793260225,6,CH,"[[1.7, 10.2]]",8.5,5-10s,7.44,True,True,8.008,True,8.541,True,9.009,True,7.007,True,6.606,True,6.006,True,7.674418604651163,True,6.439838220424671,True,8.008,True,0.25,20,17,0.568,77,32,4,8.44,9.44,10.44,12.44,True,True,False,False,6.44,5.44,4.44,2.44,True,True,True,True
val_tune,5987365500,1,CW,"[[0.0, 18.8]]",18.8,>=10s,2.5359,True,True,3.036366666666667,True,3.5368666666666666,True,4.037366666666666,True,2.0353666666666665,True,1.5348666666666666,True,1.0343666666666667,True,3.036366666666667,True,1.8685333333333334,True,3.036366666666667,True,0.85,20,39,0.5005,96,44,4,3.5359,4.5359,5.5359,7.5359,True,True,True,True,1.5359,0.5359,0.0,0.0,True,True,True,True
val_tune,6582763207,2,CW,"[[0.7, 2.8], [4.8, 9.8]]",7.1,5-10s,6.0477,True,True,6.297958333333334,True,7.048708333333333,True,7.5492083333333335,True,5.046708333333333,True,4.295958333333333,False,3.7954583333333334,False,6.172833333333333,True,4.421083333333333,False,6.297958333333334,True,0.15,20,31,0.2503,94,39,4,7.0477,8.0477,9.0477,11.0477,True,True,True,False,5.0477,4.0477,3.0477,1.0477,True,False,False,True
val_tune,7416295940,7,TN,"[[67.7, 75.9]]",8.2,5-10s,74.0406,True,True,74.74133333333333,True,75.34193333333333,True,75.74233333333333,True,73.74033333333334,True,72.73933333333333,True,72.13873333333333,True,74.074,True,73.23983333333334,True,74.74133333333333,True,0.2,20,9,0.7007,351,122,4,75.0406,76.0406,77.0406,79.0406,True,False,False,False,73.0406,72.0406,71.0406,69.0406,True,True,True,True
val_tune,3171006258,0,CW,"[[9.9, 33.1]]",23.2,>=10s,33.033,True,True,33.5335,False,34.034,False,34.4344,False,32.6326,True,32.032,True,31.031,True,33.166466666666665,False,31.464766666666666,True,33.5335,False,0.0,20,5,0.5005,147,53,4,34.033,35.033,36.033,37.0,False,False,False,False,32.033,31.033,30.033,28.033,True,True,True,True
val_tune,3943634344,4,TN,"[[17.8, 21.0]]",3.2,2-5s,20.8208,True,True,,,,,,,20.02,True,19.019,True,18.018,True,20.9209,True,18.051366666666667,True,20.887533333333334,True,1.0,20,0,,84,37,4,21.0,21.0,21.0,21.0,True,True,True,True,19.8208,18.8208,17.8208,15.8208,True,True,True,False
val_tune,5833145209,5,CW,"[[1.6, 4.2]]",2.6,2-5s,11.3447,True,False,11.644966666666667,False,12.045366666666666,False,12.645966666666666,False,11.044366666666667,False,10.543866666666666,False,10.043366666666667,False,11.945266666666667,False,9.876533333333333,False,11.644966666666667,False,0.0,20,10,0.3003,68,30,4,12.3447,13.3447,14.3447,16.3447,False,False,False,False,10.3447,9.3447,8.3447,6.3447,False,False,False,False
val_tune,5333075105,10,CW,"[[8.7, 35.6]]",26.9,>=10s,23.9239,True,True,24.024,True,25.025,True,26.026,True,23.4234,True,23.023,True,22.5225,True,23.957266666666666,True,23.056366666666666,True,24.024,True,0.95,20,24,0.1001,156,63,4,24.9239,25.9239,26.9239,28.9239,True,True,True,True,22.9239,21.9239,20.9239,18.9239,True,True,True,True
val_tune,5679866364,1,TC,"[[0.2, 3.4]]",3.2,2-5s,7.7411,True,False,8.041366666666667,False,8.441766666666666,False,9.042366666666666,False,7.440766666666667,False,7.040366666666666,False,6.439766666666666,False,9.042366666666666,False,7.040366666666666,False,8.041366666666667,False,0.0,20,31,0.3003,100,43,4,8.7411,9.7411,10.7411,12.7411,False,False,False,False,6.7411,5.7411,4.7411,2.7411,False,False,False,True
val_tune,5116088152,1,CW,"[[5.1, 8.7]]",3.6,2-5s,18.4184,True,False,19.019,False,19.4194,False,20.02,False,18.018,False,17.017,False,16.016,False,21.087733333333333,False,16.950266666666668,False,18.5185,False,0.0,20,37,0.6006,162,66,4,19.4184,20.4184,21.4184,23.4184,False,False,False,False,17.4184,16.4184,15.4184,13.4184,False,False,False,False
val_tune,4094488636,4,TN,"[[7.1, 15.1]]",8.0,5-10s,13.6136,True,True,14.014,True,14.4144,True,15.015,True,13.013,True,12.4124,True,12.012,True,13.947266666666668,True,12.479133333333333,True,13.7137,True,0.1,20,25,0.4004,108,50,4,14.6136,15.6136,16.6136,18.6136,True,False,False,False,12.6136,11.6136,10.6136,8.6136,True,True,True,True
val_tune,6895608152,8,CW,"[[9.6, 87]]",77.4,>=10s,74.2,True,True,74.44,True,74.92,True,75.64,True,73.96,True,73.24,True,72.64,True,74.44,True,73.24,True,74.44,True,1.0,20,19,0.24,291,127,4,75.2,76.2,77.2,79.2,True,True,True,True,73.2,72.2,71.2,69.2,True,True,True,True
