video_id,corpus,cache_dir,config_hash,is_canonical,n_survivors,n_scenes,shortlist_width,fraction_kept
198918f40ecc7cab0fc4231adaf67c96,nextqa_other,/home/ccbd/IRIS/api_index_cache,,False,28,3,3,1.0
mov_bbb,nextqa_other,/home/ccbd/IRIS/eval/data/index_cache,,False,28,3,3,1.0
4000445275,nextqa_other,/home/ccbd/IRIS/eval/data/nextqa/index_cache,,False,360,63,8,0.126984
10001787725,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,121,16,4,0.25
10030609934,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,198,31,6,0.193548
10042935613,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,200,43,7,0.162791
10082798964,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,42,8,4,0.5
10127533784,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,70,14,4,0.285714
10309542255,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,300,66,9,0.136364
10607095936,nextqa_other,/home/ccbd/IRIS-1/eval/data/nextqa/index_cache,,False,126,19,5,0.263158
3079724515,nextqa_other,/home/ccbd/IRIS-1/smoke/cache_part1,,False,119,24,5,0.208333
6936757706,nextqa_other,/home/ccbd/IRIS-1/smoke/cache_part1,,False,80,18,5,0.277778
10109097475,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,316,58,8,0.137931
10597533885,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,204,43,7,0.162791
10727696143,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,260,43,7,0.162791
11276567104,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,119,24,5,0.208333
11565498775,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,143,30,6,0.2
11584566583,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,45,9,4,0.444444
11587211476,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,173,36,6,0.166667
11670386946,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,133,27,6,0.222222
13515224395,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,143,29,6,0.206897
13884293626,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,632,126,12,0.095238
14012319794,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,381,89,10,0.11236
2482028659,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,87,20,5,0.25
2510696559,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,283,44,7,0.159091
2547885226,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,55,6,4,0.666667
2552130183,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,361,45,7,0.155556
2589540862,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,93,14,4,0.285714
2716277960,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,56,14,4,0.285714
2810112808,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,356,26,6,0.230769
2821968703,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,120,21,5,0.238095
2835125654,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,189,47,7,0.148936
2857132732,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,98,10,4,0.4
2885091387,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,143,29,6,0.206897
2920952624,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,111,18,5,0.277778
3066064005,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,110,19,5,0.263158
3124551255,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,263,41,7,0.170732
3175315183,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,336,49,7,0.142857
3249402410,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,94,18,5,0.277778
3355698421,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,160,25,5,0.2
3402648543,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,70,9,4,0.444444
3452354871,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,69,11,4,0.363636
3469864014,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,116,23,5,0.217391
3471421544,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,239,41,7,0.170732
3489439407,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,223,35,6,0.171429
3502722122,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,58,16,4,0.25
3562017845,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,160,26,6,0.230769
3595273118,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,51,11,4,0.363636
3784543730,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,115,25,5,0.2
3843551232,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,94,19,5,0.263158
3851961428,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,276,51,8,0.156863
3935853204,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,127,19,5,0.263158
3939145327,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,160,40,7,0.175
4013751996,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,103,12,4,0.333333
4083875373,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,217,52,8,0.153846
4087013668,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,194,34,6,0.176471
4087654898,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,44,8,4,0.5
4123211145,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,361,72,9,0.125
4126010904,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,227,57,8,0.140351
4136617240,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,360,89,10,0.11236
4179163342,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,291,45,7,0.155556
4273039295,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,296,61,8,0.131148
4279106208,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,75,13,4,0.307692
4483447009,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,104,20,5,0.25
4626535366,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,196,28,6,0.214286
4635309062,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,278,46,7,0.152174
4658396458,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,289,59,8,0.135593
4740074365,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,79,10,4,0.4
4744503881,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,66,14,4,0.285714
4757890069,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,151,22,5,0.227273
4782722858,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,166,36,6,0.166667
4822859674,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,115,13,4,0.307692
4983922034,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,64,10,4,0.4
5008618500,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,102,19,5,0.263158
5047408177,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,87,25,5,0.2
5048503508,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,43,10,4,0.4
5323654756,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,272,39,7,0.179487
5352022985,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,189,32,6,0.1875
5421648216,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,174,36,6,0.166667
5586394125,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,151,23,5,0.217391
5603283408,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,102,18,5,0.277778
5658916668,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,88,18,5,0.277778
5702201498,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,46,10,4,0.4
5840177726,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,55,8,4,0.5
5863411262,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,136,23,5,0.217391
5877508141,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,79,19,5,0.263158
5889898795,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,450,48,7,0.145833
5926256714,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,118,23,5,0.217391
6018514357,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,171,26,6,0.230769
6096998186,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,90,19,5,0.263158
6136926089,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,237,31,6,0.193548
6159637889,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/d1_20260729T055818Z/index_cache,4edae64ed40256e3,True,300,49,7,0.142857
