arm,gold_duration_bucket,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,2-5s,1125,476,0.4231111111111111,0.20355555555555555,0.19606968238619685,0.16770493889932306,4.277731539555556
A,5-10s,731,434,0.5937072503419972,0.34199726402188785,0.33718262874106986,0.20004439311986075,4.294733004103967
A,<2s,278,95,0.34172661870503596,0.12949640287769784,0.0787673658479797,0.07702211661127886,4.246179003597123
A,>=10s,551,419,0.7604355716878403,0.5462794918330308,0.5638651728373211,0.1372269269163281,4.318215635208712
F,2-5s,1125,481,0.4275555555555556,0.20444444444444446,0.1981090220650863,0.1692118541087742,4.281166146666667
F,5-10s,731,433,0.5923392612859097,0.34199726402188785,0.33233775459162557,0.19754016060651516,4.3022097934336525
F,<2s,278,92,0.33093525179856115,0.12949640287769784,0.08097493615537016,0.07920354979526886,4.246179003597123
F,>=10s,551,419,0.7604355716878403,0.5535390199637024,0.5616479642226427,0.13673494448369072,4.311850041742287
G,2-5s,1125,432,0.384,0.19822222222222222,0.20160679478432197,0.17204477067627613,4.269116677333334
G,5-10s,731,399,0.5458276333789329,0.3488372093023256,0.3407779143869493,0.2016401460909167,4.296606839945281
G,<2s,278,84,0.302158273381295,0.11870503597122302,0.08623389266939352,0.08452519836359762,4.250139794964029
G,>=10s,551,401,0.7277676950998185,0.542649727767695,0.5657333362299145,0.1396121344102629,4.310445713248639
