arm,type_code,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,CH,392,233,0.5943877551020408,0.35714285714285715,0.34615049111039536,0.17011061535762176,4.281899397959184
A,CW,1172,625,0.5332764505119454,0.3174061433447099,0.3063593175332227,0.1619754222042604,4.304732137372015
A,TC,380,218,0.5736842105263158,0.3684210526315789,0.3415590192275574,0.16976331631248145,4.287694242105263
A,TN,704,330,0.46875,0.22017045454545456,0.2361543700389433,0.149664736343615,4.265276579545455
A,TP,37,18,0.4864864864864865,0.24324324324324326,0.23937069608637798,0.14951627440432666,4.214681972972974
F,CH,392,229,0.5841836734693877,0.3596938775510204,0.3464370456250081,0.17088502051235802,4.284958071428572
F,CW,1172,626,0.5341296928327645,0.3199658703071672,0.30598125080607047,0.16247175494404265,4.303846208191127
F,TC,380,218,0.5736842105263158,0.3736842105263158,0.3381245295943835,0.1684288869362533,4.290849505263158
F,TN,704,334,0.4744318181818182,0.21875,0.23635772113603684,0.1497239112722106,4.269153661931818
F,TP,37,18,0.4864864864864865,0.24324324324324326,0.22957038411394612,0.1435756519637042,4.261516216216217
G,CH,392,214,0.5459183673469388,0.3622448979591837,0.3458574094107758,0.17063771670815647,4.286317255102041
G,CW,1172,594,0.5068259385665529,0.3165529010238908,0.3172855757295811,0.1712518773598607,4.298312148464164
G,TC,380,204,0.5368421052631579,0.35526315789473684,0.35474439167974897,0.17516180620415825,4.260195689473684
G,TN,704,289,0.41051136363636365,0.21875,0.22944841741647845,0.1449679422764252,4.273996755681818
G,TP,37,15,0.40540540540540543,0.21621621621621623,0.2118658386594007,0.13939194791535825,4.176865756756757
