arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,10001787725,4,0.5,0.25,0.21999999999999986,0.0,0.0,0.0
A,10030609934,10,0.5,0.20399793733127058,0.14685967409739592,0.0,0.0,0.0
A,10042935613,12,0.5,0.339324172657506,0.21640945303157308,0.0,0.0,0.0
A,10082798964,3,0.6666666666666666,0.25303030303030294,0.13180212484156797,0.0,0.0,0.0
A,10127533784,4,0.75,0.2818481360148027,0.2801504344540474,0.0,0.0,0.0
A,10309542255,5,0.8,0.5171747505080837,0.40473633441256673,0.0,0.0,0.0
A,10607095936,7,0.2857142857142857,0.06339889673223009,0.03988468991684036,0.0,0.0,0.0
A,10779838974,4,1.0,0.25,0.07432432432432434,0.0,0.0,0.0
A,11244289523,8,0.875,0.4538352272727274,0.3627695332317856,0.0,0.0,0.0
A,11503803033,3,0.3333333333333333,0.18212121212121177,0.11234448893581571,0.0,0.0,0.0
A,11541421563,7,0.5714285714285714,0.14744588744588746,0.12130167367843422,0.0,0.0,0.0
A,11566930393,4,0.25,0.0,0.0,0.0,0.0,0.0
A,11566980553,8,0.5,0.25,0.16789473684210526,0.0,0.0,0.0
A,11681746823,5,1.0,0.7553417053417053,0.6905242737283179,0.0,0.0,0.0
A,11849091804,1,1.0,1.0,0.17254901960784322,0.0,0.0,0.0
A,11871253306,10,0.1,0.11941893939393937,0.11229667092982212,0.0,0.0,0.0
A,11966080214,5,0.4,0.0,0.0,0.0,0.0,0.0
A,12392885583,9,0.6666666666666666,0.2773838383838384,0.154618081800178,0.0,0.0,0.0
A,12682618843,6,0.5,0.308217741260628,0.19722032629906636,0.0,0.0,0.0
A,13296054183,1,0.0,0.0,0.0,0.0,0.0,0.0
A,13569831214,5,0.6,0.34999999999999964,0.26733333333333315,0.0,0.0,0.0
A,13919236672,9,0.1111111111111111,0.0980429082280934,0.06060958842923246,0.0,0.0,0.0
A,14003541505,8,0.625,0.24997159090909082,0.21366276807211462,0.0,0.0,0.0
A,2400171624,4,0.5,0.09539772727272722,0.09494458267360319,0.0,0.0,0.0
A,2400715506,3,0.3333333333333333,0.3333333333333333,0.10705596107055955,0.0,0.0,0.0
A,2401167740,6,0.8333333333333334,0.2529166666666667,0.2307073737458849,0.0,0.0,0.0
A,2405940242,5,1.0,0.5049090909090908,0.3375606214652498,0.0,0.0,0.0
A,2434859163,2,1.0,0.2857954545454547,0.2684098185699041,0.0,0.0,0.0
A,2435100235,9,0.2222222222222222,0.1111111111111111,0.022952529994783546,0.0,0.0,0.0
A,2435633172,6,0.0,0.06776515151515176,0.025685931115003034,0.0,0.0,0.0
A,2442307875,6,0.6666666666666666,0.2765151515151515,0.21439393939393933,0.0,0.0,0.0
A,2454242177,9,0.7777777777777778,0.5555555555555556,0.1516040709258818,0.0,0.0,0.0
A,2461993294,3,0.3333333333333333,0.466199494949495,0.15314411344727705,0.0,0.0,0.0
A,2495861393,7,0.2857142857142857,0.23051948051948049,0.12744533947065587,0.0,0.0,0.0
A,2503404966,6,0.16666666666666666,0.0490719696969697,0.032204738111218836,0.0,0.0,0.0
A,2535384528,6,0.3333333333333333,0.1265151515151515,0.09608277900960831,0.0,0.0,0.0
A,2559262403,6,0.16666666666666666,0.1334517045454546,0.07871084210056394,0.0,0.0,0.0
A,2567843468,6,0.6666666666666666,0.30950213049584613,0.25720330163008864,0.0,0.0,0.0
A,2573424030,9,0.5555555555555556,0.3063888888888885,0.15932662132337538,0.0,0.0,0.0
A,2584172238,8,0.75,0.3437855113636363,0.2599829432344546,0.0,0.0,0.0
A,2596300565,4,0.25,0.25,0.03142857142857142,0.0,0.0,0.0
A,2599937944,7,0.8571428571428571,0.7159415584415585,0.40755628469101535,0.0,0.0,0.0
A,2604394962,6,0.16666666666666666,0.16666666666666666,0.11235144927536234,0.0,0.0,0.0
A,2614918961,5,0.2,0.026803030303030568,0.013857663232932665,0.0,0.0,0.0
