arm,video_duration_bucket,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,20-40s,962,549,0.5706860706860707,0.34615384615384615,0.31278237270938913,0.17615024805575757,4.271857517671519
A,40-60s,534,261,0.4887640449438202,0.2303370786516854,0.25354187786941346,0.12978608806962902,4.330686960674158
A,<20s,477,316,0.6624737945492662,0.40461215932914046,0.37482349208172033,0.24826112779501583,4.1878139371069185
A,>=60s,712,298,0.41853932584269665,0.2345505617977528,0.25922348480564056,0.10497447354514843,4.342656417134832
F,20-40s,962,550,0.5717255717255717,0.34407484407484407,0.31190282482784765,0.17541052074437447,4.274068665280666
F,40-60s,534,263,0.49250936329588013,0.22846441947565543,0.2553996022526651,0.13109210228195692,4.333932029962547
F,<20s,477,314,0.6582809224318659,0.4192872117400419,0.37913638612890826,0.25172299750690824,4.196539373165619
F,>=60s,712,298,0.41853932584269665,0.23595505617977527,0.25352338159658366,0.1029561252020835,4.339566529494382
G,20-40s,962,514,0.5343035343035343,0.32536382536382535,0.32033405979021284,0.18163258766038462,4.267853231808732
G,40-60s,534,235,0.4400749063670412,0.24157303370786518,0.2542185966812101,0.130118339987481,4.325699069288389
G,<20s,477,304,0.6373165618448637,0.4276729559748428,0.39125214470695446,0.2579847310860979,4.196864844863732
G,>=60s,712,263,0.3693820224719101,0.2303370786516854,0.2543076134871182,0.10407464241254528,4.329589424157303
