video,split,min_duration_s,n_sentences,est_survivors_30fps
Normal_Videos308_x264,Train,32550.0,1179,102532
Normal_Videos307_x264,Train,20431.2,906,64358
Normal_Videos633_x264,Test,14710.1,486,46336
Normal_Videos946_x264,Val,7834.1,131,24677
Normal_Videos425_x264,Train,6425.5,262,20240
Normal_Videos471_x264,Train,6378.1,408,20091
Normal_Videos472_x264,Train,6021.0,225,18966
Normal_Videos947_x264,Val,6010.1,251,18931
Normal_Videos547_x264,Test,5595.2,210,17624
Explosion046_x264,Train,4730.0,177,14899
Normal_Videos138_x264,Train,4264.5,225,13433
Arson019_x264,Train,3841.0,32,12099
Normal_Videos_935_x264,Val,3599.3,8,11337
Normal_Videos529_x264,Train,3599.1,164,11337
Normal_Videos450_x264,Train,3598.9,150,11336
Normal_Videos530_x264,Train,3598.3,128,11334
Normal_Videos449_x264,Train,3594.1,114,11321
Normal_Videos137_x264,Train,3563.4,32,11224
Normal_Videos136_x264,Train,3538.5,159,11146
Normal_Videos541_x264,Test,3160.0,158,9954
Normal_Videos540_x264,Test,2921.0,138,9201
Normal_Videos548_x264,Test,2807.1,72,8842
Normal_Videos563_x264,Test,2747.0,94,8653
Normal_Videos087_x264,Train,2699.0,720,8501
Normal_Videos533_x264,Train,2644.0,79,8328
Normal_Videos714_x264,Val,2633.2,99,8294
Normal_Videos396_x264,Train,2629.5,196,8282
Normal_Videos713_x264,Val,2424.3,119,7636
Normal_Videos556_x264,Test,2304.0,161,7257
Normal_Videos473_x264,Train,2230.0,97,7024
Shoplifting014_x264,Train,2223.2,102,7003
Normal_Videos496_x264,Train,2152.2,63,6779
Arrest047_x264,Val,2102.0,87,6621
Normal_Videos323_x264,Train,2098.5,34,6610
Normal_Videos630_x264,Test,2092.3,15,6590
Normal_Videos819_x264,Val,2070.7,95,6522
Normal_Videos397_x264,Train,2010.8,278,6334
Normal_Videos544_x264,Test,2003.0,72,6309
Normal_Videos375_x264,Train,1920.0,105,6048
Normal_Videos551_x264,Test,1800.0,83,5670
Normal_Videos565_x264,Test,1786.2,111,5626
Normal_Videos769_x264,Val,1784.3,47,5620
Normal_Videos520_x264,Train,1694.2,22,5336
Normal_Videos521_x264,Train,1694.1,57,5336
Normal_Videos492_x264,Train,1656.0,35,5216
Normal_Videos_924_x264,Test,1580.0,33,4977
Burglary064_x264,Train,1570.8,47,4948
Normal_Videos701_x264,Val,1427.5,68,4496
Normal_Videos171_x264,Train,1420.0,56,4473
Normal_Videos090_x264,Train,1369.0,128,4312
Normal_Videos479_x264,Train,1320.0,20,4158
Normal_Videos534_x264,Test,1295.4,87,4080
Normal_Videos687_x264,Val,1258.1,36,3963
Normal_Videos512_x264,Train,1230.2,85,3875
Normal_Videos371_x264,Train,1230.2,73,3875
Normal_Videos484_x264,Train,1199.0,37,3776
Normal_Videos836_x264,Val,1124.1,17,3540
Normal_Videos_940_x264,Val,1082.2,16,3408
Normal_Videos525_x264,Train,1080.0,36,3402
Normal_Videos689_x264,Val,1063.1,58,3348
Fighting041_x264,Test,1054.0,69,3320
Normal_Videos718_x264,Val,1051.4,38,3311
Normal_Videos638_x264,Test,1023.7,63,3224
Normal_Videos494_x264,Train,1007.0,50,3172
Abuse042_x264,Test,948.8,45,2988
Normal_Videos084_x264,Train,915.2,82,2882
Shoplifting040_x264,Test,907.0,46,2857
Normal_Videos562_x264,Test,902.1,56,2841
Normal_Videos510_x264,Train,901.0,38,2838
Normal_Videos511_x264,Train,900.1,30,2835
Normal_Videos566_x264,Test,899.2,50,2832
Normal_Videos046_x264,Train,899.0,78,2831
Normal_Videos415_x264,Train,895.9,124,2822
Normal_Videos681_x264,Val,889.1,63,2800
Fighting050_x264,Val,871.6,56,2745
Normal_Videos532_x264,Train,862.0,41,2715
Burglary095_x264,Val,853.1,28,2687
Normal_Videos139_x264,Train,839.2,53,2643
Normal_Videos277_x264,Train,809.0,52,2548
Shoplifting012_x264,Train,781.1,50,2460
Normal_Videos683_x264,Val,777.9,52,2450
Shoplifting030_x264,Train,769.6,45,2424
Normal_Videos266_x264,Train,749.1,20,2359
Normal_Videos762_x264,Val,745.1,6,2347
Normal_Videos123_x264,Train,739.0,55,2327
Normal_Videos694_x264,Val,732.2,27,2306
Stealing025_x264,Train,727.0,48,2290
Shooting032_x264,Train,722.2,110,2274
Normal_Videos561_x264,Test,712.0,37,2242
Normal_Videos111_x264,Train,679.0,73,2138
